Dutch firms	Sectors	address	Digital technologies	Sustainability focus	URL	Language		
Hema	Textile and Apparel	1033 SB Amsterdam			https://www.hema.com/	Netherlands		
Kuyuchi	Textile and Apparel	3451 BV Utrecht		"100% organic cotton, recycled materials"	https://kuyichi.com/	English		
c & a	Textile and Apparel	1062 HH Amsterdam			https://www.c-and-a.com/eu/en/shop	English		
mudjeans	Textile and Apparel	1251 AV Laren		"organic, circular economy (lease and repair), 40% recycled materials and coloured with Cradle2Cradle dyes"	https://mudjeans.eu/	English		
g-star raw	Textile and Apparel	AN Amsterdam		"raw, unwashed, untreated denim"	https://www.g-star.com/en_nl	English		
kings of indigo	Textile and Apparel	1087 HW Amsterdam		"sustainable, organic or recycled materials; no harmful pesticides or fertilizers are used; fair living wage"	https://www.kingsofindigo.com/	English		
viktor & rolf	Textile and Apparel	1013 AP Amsterdam		"brand's fabrics contain recycled materials such as ROICA elastane, recycled polyester, and regenerated nylon"	https://www.viktor-rolf.com/	English		
studio jux	Textile and Apparel	1072 NH Amsterdam		empowers women through social projects; safe and healthy working conditions	https://luxiders.com/studio-jux-sustainable-fashion-brand/	English		
gsus	Textile and Apparel	1021 KN Amsterdam		"organic, handmade in fair and safe environment"	https://www.w-o-w.lt/product/gsus-women/	English		
eco vegan shoes	Textile and Apparel	2712 XZ Zoetermeer		"he Vegan Society and PETA, Bluesign certified; fair labor conditions, biodegradable materials"	https://www.eco-vegan-shoes.com/	English		
unrecorded	Textile and Apparel	"1016 GK, Amsterdam "			https://unrecorded.co/	English		
crafted society	Textile and Apparel	"1016 AG, Amsterdam"			https://www.craftedsociety.com/	English		
loop.a.life	Textile and Apparel	1087 ML Amsterdam		100% recycled knitwear and denim 	https://loopalife.com/	English		
Arch-and-hook	Textile and Apparel	017 CB Amsterdam		"100% recycled, fsc-certified wood hooks, recyclable materials; upcycled ocean bound thermoplastic"	https://www.archandhook.com/	English		
&wider	Textile and Apparel	1016 BE Amsterdam		"jhuman rights, tracking, labour practices based on platform"	https://www.andwider.com/	English		
thefabricant.com	Textile and Apparel	1017 ZP Amsterdam		3D fashion and animation to reduce CO2 emission	https://www.thefabricant.com/	English		
United wardrobe	Textile and Apparel	3512 AB Utrecht		second-hand clothing	https://www.vinted.com/	English		
RVDK	Textile and Apparel	1016 CG Amsterdam		uses a high proportion of eco-friendly materials including recycled materials and deadstock; limits the amount of chemicals and water used in production	https://www.ronaldvanderkemp.com/	English		
Renoon	Textile and Apparel	Amsterdam			https://renoon.com/	English		
Goat organic Apparel	Textile and Apparel	Amsterdam		vegan collections	https://www.goatorganicapparel.com/	English		
Saint Basics	Textile and Apparel	2596 CC The Hague		OEKO-TEX certified and has adopted the GOTS Code of Conduct to protect its workersí labour rights	https://saintbasics.com/	English		
O Mybag	Textile and Apparel	4751 North Brabant		"eco-friendly, high quality materials. The Dutch label also uses low impact and non-toxic dyes in its products"	https://omybagamsterdam.com/	English		
A-dam	Textile and Apparel	Amsterdam		"more eco-friendly materials, like GOTS certified cotton, and limits the amount of chemicals, water, and wastewater used in production"	https://a-dam.com/	English		
Noumenon	Textile and Apparel	5981 DT Paningen		"00% vegan, PETA-approved fashion brand; made from eco-friendly materials like Tencel (recycled wood pulp)"	https://nou-menon.com/	English		
FastFeetGrinded	Textile and Apparel	6114 Susteren		"upcycle rubber, foam and fibre from unwanted trainers"	https://www.fastfeetgrinded.eu/	English		
Jackalo	Textile and Apparel	Mastricht		"eco-friendly materials including Global Organic Textile Standard (GOTS) certified cotton, and reuses all of its offcuts"	https://hellojackalo.com/	English		
Relove Fashion	Textile and Apparel	1016 CS Amsterdam		"reuse, retouch, restyle, repair and repeat"	https://www.relove.foundation	English		
J-label	Textile and Apparel	1165 MP Halfweg 		"environmentally friendly materials such as GOTS-certified organic cotton, FSC viscose and residual materials for their collections"	https://www.jlabel.com/	English		
LaSalle	Textile and Apparel	1014 BS Amsterdam		environmental friendly materials (e.g. substances or residuals from soybeans; 	https://www.lasalle-fashion.com/web/	English		
Maium	Textile and Apparel	Amsterdam		"recycled plastic bottles, no harmful chemicals, safe and healthy working conditons"	https://maium.nl/en/	English		
Alchemist	Textile and Apparel	Lijnden		"Sustainably produced materials; certifications, responsibly managed forests"	https://www.alchemist-fashion.com/	English		
Fair21	Textile and Apparel	5351 SH Berghem	alles duurzame	" Fair Wear FoundationComposteerbaarEKO-Keurmerk, Sustainable TextileEuropees EcolabelCradle to Cradle IVN Natur Textile÷kotex Standard 100Ecocert"	https://www.fair21.com/	English		
Gooische Fashion Outlet	Textile and Apparel	1261 ES Blaricum		Be green and recycle your clothes.	https://www.gooischefashionoutlet.nl/	Netherlands		
Wereldwinkel Scheveningen	Textile and Apparel	2587 ED 's-Gravenhage		Fairtrade Max Havelaar	https://www.wereldwinkelscheveningen.nl/	Netherlands		
Sus & So	Textile and Apparel	Hilversum	"bio, circulaire"	"EKO-Keurmerk, Sustainable TextileFairtrade Max HavelaarEcocertEU-Logo Biologische Producten"	https://www.susenso.nl/	Netherlands		
De Katoenfabriek	Textile and Apparel	3511 PR Utrecht		00 % afkomstig van de biologische katoenteel; gerecycled polyester	https://www.katoenfabriek.nl/	Netherlands		
Turfpost	Textiles	1462 VN Middenbeemster			https://www.raphaelstichting.nl/breidablick/	Netherlands		
Jeanet fair chain products	Textiles	6662HW Elst		100 % biokatoen en is GOTS gecertificeerd	https://www.allesduurzaam.nl/verkooppunten/verkooppunten_item/t/jeanet_fair_chain_products	Netherlands		
De Noordkroon	Textiles	1791 AZ Den Burg			https://noordkroon.nl/	Netherlands		
Twentse Damast	Textiles	7581 CV Losser		"Arbeidsomstandigheden, milieubewustzijn alsmede continu¡Øteit, winst/marge/resultaat en werkgelegenheid "	https://twentsedamast.nl/	Netherlands		
Natuurstoffen.nl	Textiles	9736 EA Groningen		henneptextiel	https://www.natuurstoffen.nl/	Netherlands		
Ecological Textiles	Textiles	6042 CK Roermond		"Global Organic Textile Standard; biologische katoen, hennep, linnen, zijde en wol"	https://www.ecologicaltextiles.com/	Netherlands		
Ecotex	Textiles	6042 CK Roermond		Fair Wear Foundation; IVN Natur Textile; Ecocert; Global Organic Textile Standard (GOTS)	https://www.ecotex.nl/	Netherlands		
Neidig	Textiles	6703 DW Wageningen		air trade en zo veel mogelijk milieuvriendelijk geproduceerd	https://www.neidig.nu/	Netherlands		
Wiegtotwieg.nl	Textiles	1097 CE Amsterdam		ecokatoen en geverfd met 100% onschadelijke kleurstoffen	https://www.allesduurzaam.nl/verkooppunten/verkooppunten_item/t/wiegtotwieg_nl	Netherlands		
Wol zo Eerlijk	Textiles	9481GL Vries		Global Organic Textile Standard (GOTS)	https://www.wol-zo-eerlijk.nl/	Netherlands		
Konice	Textiles	8658 LK Greonterp		"bio koton, bio-linnen"	https://konice.nl/	Netherlands		
Textielfabrique	Textiles	3082 BE Rotterdam		handwoven	https://textielfabrique.nl/	Netherlands		
Heinde & Van Verre	Textiles	2513 EV 's-Gravenhage		cotton	https://www.hvvinterieur.nl/	Netherlands		
ORIMPEX BV	Textiles			"EKO-Keurmerk, Sustainable Textile"	https://www.orimpex.nl/	Netherlands		
Yumeko	Textiles			    Global Organic Textile Standard (GOTS); eco- en/of fairtrade-certificaat.	https://www.manymorestores.com/nl-NL/	Netherlands		
GROENEWAS Textieldrukkerij	Textiles	6541AV Nijmegen		"milieuvriendelijke waterbasis zeefdrufinkten geleverd worden; organische material, duurzaam technique"	https://www.groenewas.nl/	Netherlands		
Bo Weevil	Textiles	3439 LC Nieuwegein		GOTS-gecertificeerd; Global Recycled Standard (GRS) certified	https://www.boweevil.nl/en/	Netherlands		
Vega-Life	apparel	"Postbus 7301, 2701 AH 
"		Fairtrade Max Havelaar; biologische en Fair Trade producten; veganistisch	https://www.vega-life.nl/			
Bureaubewust	apparel	3511 AA Utrecht		Fair Wear FoundationComposteerbaarDer Blaue EngelFairtrade Max HavelaarFSCNordic EcolabelPEFCGlobal Organic Textile Standard (GOTS)	https://www.bureaubewust.nl/			
De Rode Winkel Nieuwegein	apparel	3511 JA Utrecht		Fairtrade Max Havelaar	https://derodewinkel.nl/			
Tofff!	apparel	2023 DD Haarlem		tweedehands merkkleding 	https://www.tofff.com/			
De Bokketerp	apparel	2923 BK Krimpen aan den Ijssel			https://www.bokketerp.nl/			
h&m	apparel	1012 PK Amsterdam		Eco Cotton en Nature Calling; fashion made of garbage	https://www2.hm.com/nl_nl/index.html			
Ollotiek	apparel	2871 CN Schoonhoven			https://www.ollotiek.nl/			
De Groene Knoop	apparel	6287 AE Eys		Der Blaue Engel; Made-By	https://www.degroeneknoop.nl/			
Groene Beer		3893 GC Zeewolde			https://groenebeer.nl/			
Dutch News					https://www.dutchnews.nl/2020/06/nine-change-makers-in-the-netherlands-making-fashion-more-sustainable/			
Panaprium					https://www.panaprium.com/blogs/i/dutch-clothing-brands			
SB					https://www.sb-index.com/the-netherlands			
Good On You					https://goodonyou.eco/sustainable-brands-from-the-netherlands/			
Het Faire Oosten					https://www.hetfaireoosten.nl/sustainable-dutch-clothing-brands/			
PWC					https://www.pwc.nl/en/insights-and-publications/services-and-industries/retail-and-consumer-goods/future-proofing-sustainable-fashion-via-digitalisation-and-trans.html			
IamAmsterdam					https://www.iamsterdam.com/en/business/key-sectors-for-business/creative/entrepreneurs-in-the-digital-sustainable-fashion-space			
					https://www.acnestudios.com/nl/en/			
					https://www.alchemist-fashion.com/			
					https://anekdotboutique.com/			
					https://www.annavantoor.nl/			
					https://www.armedangels.de/en/			
					https://www.armorlux.com/en/			
					https://ayalabel.com/			
					https://www.barebeach.ca/			
					https://www.beaumontorganic.com/			
					https://www.bello-eco.com/			
					https://www.bluelooporiginals.com/index.php			
					https://www.boyish.com/			
					https://bysigne.com/			
					https://www.fairwear.org/			
					https://www.abeautifulstory.nl/			
					https://www.acnestudios.com/nl/en/			
					https://www.alchemist-fashion.com/			
					https://www.anadyla.com/			
					https://www.anekdotboutique.com/			
					https://www.annavantoor.nl/			
					https://www.armedangels.de/en/			
					https://www.armorlux.com/en/			
					https://www.augustineamsterdam.com/			
					https://www.ayalabel.com/			
					https://www.barebeach.ca/			
					https://www.beaumontorganic.com/			
					https://www.bello-eco.com/			
					https://www.bluelooporiginals.com/			
					https://www.boyish.com/			
					http://www.bybiek.nl/shop/			
					https://www.bysigne.com/			
					https://www.cariuma.com/			
					https://www.charliemary.com/nl			
					https://www.claudiastrater.com/			
					https://www.collectionandco.co.uk/			
					https://www.commonandsense.nl/			
					http://www.curms.com/shop/			
					http://www.diariodeunacouturier.com/			
					https://www.dick-moby.com/			
					http://www.dkoko.com/			
					https://www.dottshop.nl/			
					https://www.doyougreen.com/en/			
					https://www.econscious.net/			
					https://www.ekyog.com/			
					https://www.elisechalmin.com/			
					https://www.elvdenim.com/			
					https://www.shop.ethletic.com/en/			
					https://www.everlane.com/			
					https://www.fairlydressy.nl/			
					https://www.faithfullthebrand.com/			
					https://www.filippa-k.com/nl/			
					https://www.en.flamingoslife.com/			
					https://www.goatorganicapparel.com/			
					https://www.goodguysdontwearleather.com/			
					https://www.groceriesapparel.com/			
					https://www.harathelabel.com.au/			
					http://www.hessnatur.com/de/			
					https://www.hiutdenim.co.uk/			
					https://www.hundhund.com/			
					https://www.hunzag.com/			
					https://www.indigoluna.store/			
					http://www.inthesoulshine.com/			
					https://www.inyourarms.com.au/			
					https://www.irismaree.com/			
					https://www.ironroots.com/			
					https://www.jannjune.com/			
					http://www.juliaotilia.com/			
					https://www.juneswimwear.com/			
					https://www.kinglouie.nl/			
					https://www.komodo.co.uk/			
					https://www.labante.co.uk/			
					https://www.ladress.com/nl/			
					https://www.lanius.com/en/			
					https://www.les-sublimes.com/			
					https://www.liqbikini.com/			
					https://www.lovjoi.com/			
					https://www.mandala-fashion.com/			
					https://www.marahoffman.com/			
					https://www.marjoleinelisabeth.nl/			
					https://www.mattandnat.com/			
					https://www.mayamiko.com/			
					https://www.meliebianco.com/			
					https://www.mipacha.com/nl/			
					https://www.mudjeans.eu/?lang=nl			
					https://mymarini.com/			
					https://www.nae-vegan.com/en/			
					https://www.naz.pt/			
					https://www.nomadsclothing.com/			
					https://www.nou-menon.com/			
					https://www.nudiejeans.com/			
					https://www.ohoyswim.com/			
					https://www.okaypretty.com/			
					https://www.organicbasics.com/			
					https://www.patagonia.com/nl/en/home/			
					http://www.peopletree.co.uk/			
					https://www.plantfacedclothing.com/			
					https://www.qnoop.com/			
					https://www.thereformation.com/			
					http://www.riverstones.nl/nl/			
					https://www.rovedesigns.com/			
					https://www.royalbamboo.com/			
					https://www.savaraintimates.com/			
					https://www.selected.com/fr/en/home			
					https://www.skunkfunk.com/en/			
					https://www.stellamccartney.com/nl			
					https://www.swaystore.be/			
					https://www.swedishstockings.com/			
					https://www.takko.com/nl-nl/			
					http://www.taj.nl/nl/			
					http://www.thinkingmu.com/es/			
					https://www.toms.com/nl/			
					https://www.twothirds.com/			
					https://www.umanomad.com/			
					http://www.underprotection.dk/			
					http://www.veganoriginal.co.uk/			
					https://www.awin1.com/			
					https://www.vegetarian-shoes.co.uk/			
					http://www.veja-store.com/en/			
					https://www.vettacapsule.com/			
					https://www.vitaminaswim.com/			
					https://www.wills-vegan-shoes.com/			
					https://www.wolfandmoon.com/			
					https://www.woodlikeocean.com/			
					https://www.wunderwerk.com/			
					https://www.yogademocracy.com/			
					https://www.youngfrankk.com/			
					https://www.avocadostore.de/			
					https://www.brandmission.nl/			
					https://www.degroeneknoop.nl/			
					https://www.ecogoodies.nl/			
					http://www.gekaapt.nl/			
					https://www.lotika.nl/			
					https://www.projectcece.nl/			
					https://www.sophiestone.nl/			
					https://www.supergoods.be/			
					https://www.susenso.nl/			
					https://www.takeitslowstore.com/nl/			
					https://www.theblindspot.nl/			
					https://www.thegreenlabels.com/			
					https://www.versegoodstore.com/			
					https://www.watmooi.nl/shop/			
					https://www.wolfandstorm.com/			
					https://www.512-nijmegen.nl/			
					http://www.deamaranth.nl/			
					https://www.awear.nl/			
					https://www.hetfaireoosten.nl/			
					https://www.greyhaus.nl/			
					https://www.karakterwebwinkel.nl/			
					https://www.meandmorefairfashion.nl/			
					https://www.natur-el.nl/			
					https://www.nieuwmos.nl/			
					https://www.nukuhiva.nl/			
					https://www.sur-atelier.nl/			
					https://www.vega-life.nl/			
					https://www.wanderwooddenbosch.nl/			
					https://www.wwen.nl/			
					https://www.lena-library.com/			
					http://www.elegantic.nl/			
					https://www.monsieurmango.nl/			
					https://www.naoki.nl/			
					https://www.mintgreenmind.nl/			
					http://www.thehelbe.wordpress.com/			
